,tweet,tweet_id,author_id,lang,created_at
0,"rt @fossilrim: there are 5 species of rhino, all of which are threatened to some extent. black, javan, and sumatran rhinos are are critical…",1466135310358630403,714863830375866372,en,2021-12-01 20:01:12+00:00
1,"rt @elizabeth_ruler: sudan, the last male northern white rhino, is comforted during the final moments of his life. scientists are attemptin…",1466134466477182976,1403387091405266950,en,2021-12-01 19:57:50+00:00
2,@edwardbako1 how hard the might have fallen. the ferocious rhino has been dehorned.,1466134347854061569,1398262541277712388,en,2021-12-01 19:57:22+00:00
3,conservationists flew 30 white rhinos to rwanda in a huge operation to protect them-the shit we have to do-unbelievable.  https://t.co/2g0abjhs29,1466133297809932291,1162744147188469761,en,2021-12-01 19:53:12+00:00
4,"rt @tulsazoo: rhino calf update! weighing in at 203 pounds, our newest addition has gained over 75 pounds in three weeks! https://t.co/96jl…",1466132568982622212,2357152578,en,2021-12-01 19:50:18+00:00
5,@sterreexplore7 @kadonkey flying elephant i knew but a flying rhino/hornet........🤔 https://t.co/gfnfjeudvk,1466130350564851715,707642810,en,2021-12-01 19:41:29+00:00
6,"our next unesco world coastal heritage site is ujung kulon national park. it boasts some of the most interesting natural landscapes, such as the natural reserve of krakatoa, lowland rainforests, and several endangered species - like the javan rhinos! an adventure at every turn! https://t.co/mdxrqwy669",1466129474437718023,950838282476236801,en,2021-12-01 19:38:00+00:00
7,"rt @africanparks: thank you for joining us in welcoming 30 white rhinos to their new home
they will be joining black rhinos - which we rein…",1466129393890308102,58902255,en,2021-12-01 19:37:41+00:00
8,they flew 30 white rhinos from south africa to rwanda in a boeing 747.  https://t.co/6j1nlubbdv #esm303murphy,1466127601752154114,1324440363449286656,en,2021-12-01 19:30:34+00:00
9,@oostingauke @kadonkey i wish🤭..do not have that much rhino💰to buy a super rhino hornet😄,1466126884270485510,1422111904613425153,en,2021-12-01 19:27:43+00:00
10,"rt @passivelyactive: #anythingbutbirds rhino with its calf. pride of #manasnationalpark pride of india.
#indiaves #bbcwildlifepotd #thephot…",1466125391899156486,1113498540351741952,en,2021-12-01 19:21:47+00:00
11,"our conscomm researcher rosie healy interviewed james danoff-burg about the opening of the rhino savannah project @livingdesert and his thoughts on conservation.  https://t.co/ycntdbzxre
#wonderfullywild #thelivingdesert https://t.co/fisynhoklt",1466123592953999360,293419816,en,2021-12-01 19:14:38+00:00
12,"@_vineetvashist @nalinyadavifs @sudharamenifs @jamirshaikh_ifs @vikas_yadav_ifs @parveenkaswan @s_singh_ifs @natgeoindia @natgeophotos @susantananda3 he shouldn't have done that. as simple as that. to maintain balance in food chain.. one shouldn't disturb nature.
if it's a african white rhino baby that was being attacked by the python.. i would tear that python to pieces.",1466123480793968643,881332411014840321,en,2021-12-01 19:14:11+00:00
13,rt @rhisotope: today is #givingtuesday! we would truly appreciate your donation to help us fight the good fight against #rhino poaching.  t…,1466121012886581250,190631975,en,2021-12-01 19:04:23+00:00
