orig_tweet,label,tweet_id,author_id,lang
east tx american association of zoo keepers to host its 2nd bowling for #rhinos event on sat - https://t.co/hgax33kkzm,0,8.99E+17,9366272,en
new on our blog: rhino protection unit training in indonesia: https://t.co/jgog4rtavg via @rhinosirf,0,6.81E+17,9366272,en
rt @cursedani: horn of the rhino (s1/ep8) - 60’s spider-man (grantray-lawrence animation/marvel) https://t.co/xc904gqleq,FLAG_BAD,1.49E+18,2163844272,en
tell china that rhino horn isn't medicine! https://t.co/72cvrnrihd via @rainforestresq,-1,1.07E+18,1150690020,en
"new report confirms number of rhinos poached in africa in 2015 has increased to 1,342 rhinos. read more here: https://t.co/ddkpg03yi2 https://t.co/324e6azspv",0,7.79E+17,9366272,en
south african rhino survives horrific attack by poachers http://t.co/bfogjdqdhw,1,6.03E+17,79832746,en
ban the south african domestic trade in rhino horn and stop south africa from wanting to trade internationally with endangered species or species parts - sign the petition! https://t.co/wioirktrxn via @change,1,1.41E+18,973866358705475584,en
"@connectionary yeah i just saw a story on 100 rhino's poached in a single day, truly sad and driven by the asian market on pharmaceuticals",-1,2.76E+17,28740858,en
rt @rhinomanmovie: 📰 the @nytimes just released an article about the killing of anton and the dangers rangers face in the field and at home…,0,1.56E+18,4187265315,en
"""the fact that we were able to breed phineas and doppsee and have a successful calf...that's huge for us and huge for the black rhino population,"" zookeeper adrianna davidson said.

https://t.co/yf1arw8jjq",1,1.21E+18,43342743,en
female rhino lakenakurunationalpark .. great photo session with this female and her calf ..… https://t.co/mae1dagdqw,1,9.67E+17,2743147027,en
.@namibia_news urge namibia 2 stop trade! blood money=death 2 species! yes2 #lifenotextinction http://t.co/lpuazzfqv3 http://t.co/ari4c1frvo,-1,5.35E+17,26861035,en
"rt @5150midwest: my new mug, in honor of my buddy, kj. 
@sedgwickcozoo #coffee #rhinos https://t.co/3rqd70hop4",0,1.40E+18,915959909262471169,en
"from rhino horns, to pangolin scales to rosewood, the world has seen increases and decreases in the illicit trade of plants and animals during the recent five-year period, according to a new report from @unodc.

https://t.co/qzd36a4onh",0,1.28E+18,27335898,en
"rt @pu55ygalore: alleged poaching kingpin goes to court 
https://t.co/evtfxpx6e3 #rhinos #killthetrade https://t.co/6idl1flmwk",0,7.31E+17,22846618,en
