id,username,description,location,created_at,public_metrics,verified,country,region,city
423525306,GaddyGroup,"Real Estate Services Focused On Your Goals.
Serving North & South Carolina
#gaddygroupcarolinas","Fort Mill, SC",2011-11-28 16:25:57+00:00,"{'followers_count': 225, 'following_count': 246, 'tweet_count': 5886, 'listed_count': 1}",False,United States,South Carolina,Fort Mill
2493643928,LCates1,"IT... pretty much a geek. A+ & Net+ Certified. Animal lover. Joined so I could vote on the Voice, got active to watch my country fall apart in this last year😱","Pennsylvania, USA",2014-05-14 00:55:02+00:00,"{'followers_count': 396, 'following_count': 258, 'tweet_count': 9584, 'listed_count': 0}",False,United States,Pennsylvania,Usa
84529097,Highland_connor,🇦🇪🇲🇻🏴󠁧󠁢󠁳󠁣󠁴󠁿✈️,"Scotland, United Kingdom",2009-10-23 07:17:33+00:00,"{'followers_count': 264, 'following_count': 1054, 'tweet_count': 8212, 'listed_count': 6}",False,United Kingdom,Ontario,Scotland
1068349964000980997,AAAALLLRIGHTYT1,"Big Bang is impossible, so is the evolution theory. how many different species are their? do the math=impossible. Satan is real & so is Jesus Christ. get saved",Couch ,2018-11-30 03:44:15+00:00,"{'followers_count': 543, 'following_count': 1137, 'tweet_count': 21017, 'listed_count': 0}",False,,,0
84528836,Herracks,"That's right, my pfp is a photograph, I am a lumpy pink dinosaur polymorph that barfs bubbles.",Mercy Island,2009-10-23 07:15:16+00:00,"{'followers_count': 723, 'following_count': 760, 'tweet_count': 57332, 'listed_count': 17}",False,Ireland,County Waterford,Island
1068464892821159936,lp08776068,Love Shehnaaz Gill so much 😍,"मुंबई, भारत",2018-11-30 11:20:56+00:00,"{'followers_count': 38, 'following_count': 120, 'tweet_count': 15691, 'listed_count': 1}",False,,,0
84521630,hariyots,Rengginang,Indonesia,2009-10-23 06:26:08+00:00,"{'followers_count': 810, 'following_count': 727, 'tweet_count': 42328, 'listed_count': 3}",False,Indonesia,,0
2493626526,MrKisukes,"Fire Emblem enthusiast | Love indie artists | Love trashy anime | Pro LGBT, anti + | Don't care for race, people are people | Politically homeless | 我喜欢矮墩墩","Uranus, cause I'm 8.",2014-05-14 00:41:08+00:00,"{'followers_count': 62, 'following_count': 136, 'tweet_count': 13651, 'listed_count': 0}",False,,,0
84504800,Abhijit_raorane,"Backs Bitcoin& blockchain,Hind1st,Eco-nomics(needs energydisclosur),freeassange,FIAT Value Zer0,Free Tibet+balucstn,Human Consciousness xpanding2bfree4evr",India,2009-10-23 04:29:12+00:00,"{'followers_count': 408, 'following_count': 1943, 'tweet_count': 65767, 'listed_count': 43}",False,India,,0
1068456438781988864,jst_jim,LOVE  Movies Children Great Art Music Politics Collecting Having Fun Animals Freedom  Dislike Liars Labels Platitudes #'s Hypocrites TERMS Cabal Pharma NWO Etc.,"Los Angeles, CA",2018-11-30 10:47:20+00:00,"{'followers_count': 2685, 'following_count': 5013, 'tweet_count': 69590, 'listed_count': 5}",False,United States,California,Los Angeles
