tweet_id,orig_tweet,label,author_id,lang,tweet,vader,vader_category,textblob,textblob_category,bayes_category
8.99e+17,east tx american association of zoo keepers to host its 2nd bowling for #rhinos event on sat - https://t.co/hgax33kkzm,0,9366272.0,en,east tx american association of zoo keepers to host its 2nd bowling for #rhinos event on sat - ,0.3612,1,0.0,0,0
6.81e+17,new on our blog: rhino protection unit training in indonesia: https://t.co/jgog4rtavg via @rhinosirf,0,9366272.0,en,new on our blog: rhino protection unit training in indonesia:  via ,0.0,0,0.13636363636363635,1,0
1.07e+18,tell china that rhino horn isn't medicine! https://t.co/72cvrnrihd via @rainforestresq,-1,1150690020.0,en,tell china that rhino horn isnt medicine!  via ,0.0,0,0.0,0,-1
7.79e+17,"new report confirms number of rhinos poached in africa in 2015 has increased to 1,342 rhinos. read more here: https://t.co/ddkpg03yi2 https://t.co/324e6azspv",0,9366272.0,en,"new report confirms number of rhinos poached in africa in 2015 has increased to 1,342 rhinos. read more here:  ",0.34,1,0.3181818181818182,1,-1
6.03e+17,south african rhino survives horrific attack by poachers http://t.co/bfogjdqdhw,1,79832746.0,en,south african rhino survives horrific attack by poachers ,-0.8176,-1,-0.5,-1,-1
1.41e+18,ban the south african domestic trade in rhino horn and stop south africa from wanting to trade internationally with endangered species or species parts - sign the petition! https://t.co/wioirktrxn via @change,1,9.738663587054756e+17,en,ban the south african domestic trade in rhino horn and stop south africa from wanting to trade internationally with endangered species or species parts - sign the petition!  via ,-0.7263,-1,0.0,0,1
2.76e+17,"@connectionary yeah i just saw a story on 100 rhino's poached in a single day, truly sad and driven by the asian market on pharmaceuticals",-1,28740858.0,en," yeah i just saw a story on 100 rhinos poached in a single day, truly sad and driven by the asian market on pharmaceuticals",0.25,1,-0.19047619047619047,-1,-1
1.56e+18,rt @rhinomanmovie: 📰 the @nytimes just released an article about the killing of anton and the dangers rangers face in the field and at home…,0,4187265315.0,en,  📰 the  just released an article about the killing of anton and the dangers rangers face in the field and at home…,-0.8225,-1,0.0,0,0
1.21e+18,"""the fact that we were able to breed phineas and doppsee and have a successful calf...that's huge for us and huge for the black rhino population,"" zookeeper adrianna davidson said.

https://t.co/yf1arw8jjq",1,43342743.0,en,"the fact that we were able to breed phineas and doppsee and have a successful calf...thats huge for us and huge for the black rhino population, zookeeper adrianna davidson said.

",0.8126,1,0.3766666666666666,1,1
9.67e+17,female rhino lakenakurunationalpark .. great photo session with this female and her calf ..… https://t.co/mae1dagdqw,1,2743147027.0,en,female rhino lakenakurunationalpark .. great photo session with this female and her calf ..… ,0.6249,1,0.26666666666666666,1,0
